# Linee Ferroviarie Italiane
#

        Bivio Calandre - Ventimiglia Parco Roja

## Area 2

        Rho Deviazione Linea NO - AV
        Raccordo di Milano Rogoredo
        Tavazzano - Bivio Melegnano



## Area 3

        Linee nodo di Verona
        Raccordi di cintura di Udine
        Cervignano Smistamento
        Linee nodo di Venezia
        Bivio Dese - Bivio Marocco
        Raccordo di Vicenza da Schio per Trevisio
        Raccordo di Piazzola da Ostiglia a Carmignano

## Area 4

PAS     Parma - Vezzano Ligure - La Spezia Centrale
        Fidenza - Salsomaggiore Terme
        Fidenza - Fornovo
        Boretto - Reggio Emilia
        Reggio Emilia - Ciano d'Enza
        Reggio Emilia - Guastalla
        Reggio Emilia - Reggio San Lazzaro
        Reggio Emilia - Sassuolo
        Raccordo PM Freto diretto Verona
        Mirandola - Modena
        Ferrara - Modena
        Ferrara - Rimini
        Ferrara - Codigoro
        Ferrara - Copparo
        Modena - Sassuolo
        Carpi [MMV] - Bagnolo in Piano
        Rolo-Novi-Fabbrico [MMV] - Mirandola
        Parma - Suzzara [MVV]
        Suzzara [MVV] - Ferrara
        Decima - San Giovanni in Persiceto [BOV]

        Cintura di Bologna
        Castelmaggiore - Bologna Interporto - San Giorgio di Piano
        PM Lavino - PM Anzola
        Bivio Castelfrance Est - Castelfranco Est
        Quattro Ville Sud - Bivio Modena Ovest
        1° Bivio Parma Est - 2° Bivio Parma Est


## Linee Fondamentali

BLC     Bologna Centrale - Lecce
ERO     Eccelente - Rosarno
FAB     Firenze Castello - Bologna Centrale (AV)
FIB     Firenze Santa Maria Novella - Bologna Centrale (Direttissima)
FLI     Firenze Santa Maria Novella - Livorno Calambrone
FNA     Foggia - Napoli Centrale
NAS     Napoli Piazza Garibaldi (?) - Bivio Santa Lucia (- Salerno)
NRC     Napoli Centrale - Reggio di Calabria Centrale
PLS     Pisa Centrale - La Spezia Centrale
RAF     Roma Termini - Firenze Campo di Marte (Direttissima)
RAN     Roma Termini - Napoli Centrale (AV)
RCN     Roma Termini - Cassino - Napoli Centrale
RFN     Roma Termini - Formia-Gaeta - Villa Literno - Napoli Gianturco
ROA     (Roma -) Orte - Falconara Marittima (- Ancona)
ROF     Roma Termini - Firenze Santa Maria Novella
RPI     Roma Termini - Pisa Centrale
VAL     Vada - Livorno Calambrone

