        Białośliwie Wąskotorowe [18] - Witosław Wąskotorowy
        Wieluń Dąbrowa Wąskotorowy [181] - Praszka

# S

        Częstochowa Towarowa - Kusięta Nowe [61]
        Blachownia [61] - Blachownia (Huta)
        Pawonków Wąskotorowy [61] - Kokotek Wąskotorowy
        Cieszyn Marklowice [90] - Olbrachcice koło Czeskiego Cieszyna
        Bytom Wąskotorowy [131] - Bibiela
        Sucha Góra - Nakło Śląskie Wąskotorow [131]
        Chorzów Stary [131] - Piekary Śląskie Szarlej
        Bytom Wąskotorowy [131] - Bibiela
        Tarnowskie Góry [131] - Bytom Północny [131]
        Ciężkowice [Jaworzno Ciężkowice, 133] - Kopalnia Węgla Bory
        Mysłowice [138] - Kopalnia Mysłowice Szyb Wschodni
        Leszczyny [140] - Rybnik Piaski [148]
        Bytom Karb Wąskotorowy - Racibórz Płonia
        Ruda Kochłowice [141] - Kopalnia Nowy Wirek - Maciej
        Katowice Zawodzie [142] - Katowice Murcki
        Przyszowice [149] - Gliwice Sośnica Towarowa
        Bytom Karb Wąskotorowy - Racibórz Płonia [151]
        Rybnik Towarowy (PKP) - Boguszowice - KWK Borynia - Szyb IV (KP 320)
        Kłodnica 2 [175] - Kędzierzyn Koźle
        Syrynia [176] - Buków
        Racibórz - Racibórz Studzienna [177]
        Herby Stare Wąskotorowe - Kuleje Wąskotorowe
        Dąbrowa Górnicza Ząbkowice [183] - Sączów
        Praszka [196] - Lisowice Kolonia

# W

        Rogów Osobowy Wąskotorowy - Biała Rawska Wąskotorowa
        Piotrków Trybunalski Wąskotorowy - Tartak
        Pruszków - Płochocin
        Sochaczew Muzeum [3] - Wyszogród
        Sierpów Wąskotorowy - Jackowice Wąskotorowe
        Krośniewice - Miłonice
        Czarna Białostocka Wąskotorowa [6] - Olszanka
        Czarna Białostocka O.K.L. [6] - Kopisk
        Czarna Białostocka O.K.L. [6] - Waliły Stacja [37]
        Warszawa Mokotów - Nowe Miasto nad Pilicą
        Legionowo Piaski [10] - Nasielsk [9]
        Nasielsk Wąskotorowy [9] - Pułtusk
        Nasielsk [27] - Lubicz Wąskotorowa I
        Warszawa Wawer - Zegrze
        Zegrze Południowe [28] - Wieliszew Wąskotorowy
        Nieporęt [10] - Fort Beniaminów
        Warszawa Targowa - Radzymin Wąskotorowy [10]
        Łódź pl. Niepodległości - Pabianice Ł.W.E.K.D [14]
        Stryków [15] - Ozorków [16]
        Ostrowy Wąskotorowe [18] - Ozorków [16]
        Warszawa Targowa [21] - Radzymin Wąskotorowy
        Mała Wieś Cukrownia - Płońsk [27]
        Hajnówka Wąskotorowa [31] - Jeleński Bór
        Hajnówka Wąskotorowa [31] - Skupowo
        Hajnówka Wąskotorowa [31] - Trójkąt Trzeci
        Knyszyn [38] - Ponikła
        Ełk Wąskotorowy [38] - Turowo
        Giżycko [38] - Orzysz
        Kamienna Nowa [40] - Łosośna
        Olecko Wąskotorowe [41] - Świętajno Wąskotorowe
        Garbas - Olecko Wąskotorowe [41]
        Olecko [41] - Kruklanki [54]
        Rybino - Botkuny [41]
        Gołdap [41] - Granica Państwa Gołdap
        Węgorzewo - Gołdap [41]
        Wykno [25] - Koluszki [1]
        Dęby - Łomża Wąskotorowa [49]
        Hajnówka Wąskotorowa [52] - Skupowo
        Hajnówka Wąskotorowa [52] - Jeleński Bór
        Białowieża Wąskotorowa [52] - Grudek
        Węgorzewo - Kruklanki [54]

# Z

        Białogard Wąskotorowy [202] - Lepino Trójkąt
        Brzeźno Człuchowskie [210] - Wierzchowo Człuchowskie [203]
        Czaplinek [210] - Jastrowie
        Koszalin [202] - Unieście
        Koszalin Wąskotorowy [202] - Bobolice Wąskotorowe
        Sławno [202] - Gołogóra
        Sławno [202] - Kazerzewo
        Sławno [202] - Ustka
        Słupsk [202] - Budowo
        Słupsk [202] - Cecenowo
        Stara Dąbrowa - Drawsko Pomorskie Wąskotorowe [210]
        Stare Bielice [203] - Skwierzyna
        Stargard Wąskotorowy [351] - Łobez Wąskotorowy [202]
        Wałcz - Złotów [203]
